Dim_1,Dim_2,label
-7.408273696899414,63.712791442871094,ERV1
-22.101655960083008,49.2384147644043,ERV1
-38.28716278076172,51.31269836425781,hAT-Charlie
-17.741926193237305,-68.08757019042969,hAT-Tip100
27.871349334716797,-57.75831604003906,hAT-Charlie
38.870994567871094,-49.230350494384766,hAT-Blackjack
49.688133239746094,-32.12815856933594,hAT-Tip100
64.43707275390625,-22.982446670532227,Dong-R4
-15.416860580444336,7.784803867340088,ERV1
-0.6247230768203735,-22.941423416137695,srpRNA
-11.008639335632324,9.862465858459473,srpRNA
7.881068229675293,15.318196296691895,Alu
60.12015151977539,-23.885515213012695,srpRNA
40.980224609375,-47.430606842041016,ERV1
14.630288124084473,67.57002258300781,SVA
-57.29002380371094,12.590937614440918,CR1
11.352673530578613,-62.301910400390625,hAT-Blackjack
